"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2013","13212139832.1562",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","2014","13847257844.1584",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","1995","1427903000",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","1996","1451105000",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","1997","2259469000",""
"Advanced Economies","110","Allocated Reserves, Claims in Swiss francs, US Dollars","RAXGFXARCHF_USD","1998","2212540000",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","1999","707130668271.483",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2000","773993499862.448",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2001","794392595783.308",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2002","852783699173.436",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2003","1048733529052.89",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2004","1232503254061.43",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2005","1265929920042.09",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2006","1358274018866.16",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2007","1432367341907.86",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2008","1485530900350.64",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2009","1593538308730.51",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2010","1775565350786.68",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2011","2018945063397.04",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2012","2064898092507.03",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2013","2109981603806.68",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","2014","2196436454568.98",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","1995","414061497000",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","1996","526181637000",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","1997","557808813000",""
"Advanced Economies","110","Allocated Reserves, Claims in U.S. dollars, US Dollars","RAXGFXARUSD_USD","1998","620300700000",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","1999","16986817077.9205",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2000","16542639185.002",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2001","15521738278.1417",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2002","21201204491.1971",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2003","32936501687.4917",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2004","39479999410.9128",""
"Advanced Economies","110","Allocated Reserves, Claims in other currencies, US Dollars","RAXGFXAROC_USD","2005","36436783959.1801",""
